Class Desc,In Person,Day,Time
F09A,TRUE,F,9
F09C,TRUE,F,9
F11A,TRUE,F,11
F11B,TRUE,F,11
F11C,TRUE,F,11
F13A,FALSE,F,13
F13B,TRUE,F,13
F13C,TRUE,F,13
F16A,TRUE,F,16
H09A,TRUE,H,9
H09B,TRUE,H,9
H09C,TRUE,H,9
H11A,TRUE,H,11
H11B,TRUE,H,11
H11C,TRUE,H,11
H13A,FALSE,H,13
H13B,TRUE,H,13
H13C,TRUE,H,13
H15A,TRUE,H,15
H15B,TRUE,H,15
H17A,TRUE,H,17
H17B,TRUE,H,17
M13A,TRUE,M,13
M13B,TRUE,M,13
M15A,TRUE,M,15
M15B,TRUE,M,15
M15C,TRUE,M,15
M15D,TRUE,M,15
M17A,FALSE,M,17
M17B,TRUE,M,17
M17C,TRUE,M,17
M17D,TRUE,M,17
M18A,TRUE,M,18
T09A,TRUE,T,9
T09B,TRUE,T,9
T09C,TRUE,T,9
T11A,TRUE,T,11
T11B,TRUE,T,11
T12A,TRUE,T,12
T13A,TRUE,T,13
T15A,TRUE,T,15
T15B,FALSE,T,15
T16A,FALSE,T,16
T17A,TRUE,T,17
T17B,TRUE,T,17
T17C,TRUE,T,17
W09A,TRUE,W,9
W09B,TRUE,W,9
W11A,TRUE,W,11
W11B,TRUE,W,11
W13A,TRUE,W,13
W13B,TRUE,W,13
W13C,FALSE,W,13
W15A,TRUE,W,15
W18A,TRUE,W,18
