Class Desc,Day,In Person,a,Time,Code
H09A,Thu,TRUE,"Thu 09:00 - 10:00 (Weeks:1-5,7-10), Thu 10:00 - 12:00 (Weeks:1-5,7-10)",9,
H09B,Thu,TRUE,"Thu 09:00 - 10:00 (Weeks:1-5,7-10), Thu 10:00 - 12:00 (Weeks:1-5,7-10)",9,
H11A,Thu,TRUE,"Thu 11:00 - 12:00 (Weeks:1-5,7-10), Thu 12:00 - 14:00 (Weeks:1-5,7-10)",11,
H11B,Thu,TRUE,"Thu 11:00 - 12:00 (Weeks:1-5,7-10), Thu 12:00 - 14:00 (Weeks:1-5,7-10)",11,
H15A,Thu,TRUE,"Thu 15:00 - 16:00 (Weeks:1-5,7-10), Thu 16:00 - 18:00 (Weeks:1-5,7-10)",15,
H15B,Thu,FALSE,"Thu 15:00 - 16:00 (Weeks:1-5,7-10), Thu 16:00 - 18:00 (Weeks:1-5,7-10)",15,
H17A,Thu,FALSE,"Thu 17:00 - 18:00 (Weeks:1-2,4-5,7-10), Thu 18:00 - 20:00 (Weeks:1-2,4-5,7-10)",17,
M09A,Mon,FALSE,"Mon 09:00 - 10:00 (Weeks:1-2,4-5,7-10), Mon 10:00 - 12:00 (Weeks:1-2,4-5,7-10)",9,
M11A,Mon,TRUE,"Mon 11:00 - 12:00 (Weeks:1-2,4-5,7-10), Mon 12:00 - 14:00 (Weeks:1-2,4-5,7-10)",11,
M11B,Mon,TRUE,"Mon 11:00 - 12:00 (Weeks:1-2,4-5,7-10), Mon 12:00 - 14:00 (Weeks:1-2,4-5,7-10)",11,
M17A,Mon,FALSE,"Mon 17:00 - 18:00 (Weeks:1-2,4-5,7-10), Mon 18:00 - 20:00 (Weeks:1-2,4-5,7-10)",17,
M17B,Mon,TRUE,"Mon 17:00 - 18:00 (Weeks:1-2,4-5,7-10), Mon 18:00 - 20:00 (Weeks:1-2,4-5,7-10)",17,
T12A,Tue,TRUE,"Tue 12:00 - 13:00 (Weeks:1-5,7-10), Tue 13:00 - 15:00 (Weeks:1-5,7-10)",12,
T12B,Tue,TRUE,"Tue 12:00 - 13:00 (Weeks:1-5,7-10), Tue 13:00 - 15:00 (Weeks:1-5,7-10)",12,
T14A,Tue,TRUE,"Tue 14:00 - 15:00 (Weeks:1-5,7-10), Tue 15:00 - 17:00 (Weeks:1-5,7-10)",14,
T14B,Tue,TRUE,"Tue 14:00 - 15:00 (Weeks:1-5,7-10), Tue 15:00 - 17:00 (Weeks:1-5,7-10)",14,
T16A,Tue,TRUE,"Tue 16:00 - 17:00 (Weeks:1-5,7-10), Tue 17:00 - 19:00 (Weeks:1-5,7-10)",16,
T16B,Tue,TRUE,"Tue 16:00 - 17:00 (Weeks:1-5,7-10), Tue 17:00 - 19:00 (Weeks:1-5,7-10)",16,
T18A,Tue,TRUE,"Tue 18:00 - 19:00 (Weeks:1-5,7-10), Tue 19:00 - 21:00 (Weeks:1-5,7-10)",18,
T18B,Tue,FALSE,"Tue 18:00 - 19:00 (Weeks:1-5,7-10), Tue 19:00 - 21:00 (Weeks:1-5,7-10)",18,
T18C,Tue,FALSE,"Tue 18:00 - 19:00 (Weeks:1-5,7-10), Tue 19:00 - 21:00 (Weeks:1-5,7-10)",18,
W09A,Wed,TRUE,"Wed 09:00 - 10:00 (Weeks:1-5,7-10), Wed 10:00 - 12:00 (Weeks:1-5,7-10)",9,
W09B,Wed,TRUE,"Wed 09:00 - 10:00 (Weeks:1-5,7-10), Wed 10:00 - 12:00 (Weeks:1-5,7-10)",9,
W16A,Wed,TRUE,"Wed 16:00 - 17:00 (Weeks:1-5,7-10), Wed 17:00 - 19:00 (Weeks:1-5,7-10)",16,
W16B,Wed,TRUE,"Wed 16:00 - 17:00 (Weeks:1-5,7-10), Wed 17:00 - 19:00 (Weeks:1-5,7-10)",16,
W16C,Wed,FALSE,"Wed 16:00 - 17:00 (Weeks:1-5,7-10), Wed 17:00 - 19:00 (Weeks:1-5,7-10)",16,
W18A,Wed,TRUE,"Wed 18:00 - 19:00 (Weeks:1-5,7-10), Wed 19:00 - 21:00 (Weeks:1-5,7-10)",18,
